transaction_date,transaction_type,property_value,postal_code,town_name,department_code,town_code,property_type_code,property_type,building_area,main_rooms,land_area
04/01/2023,Vente,"335000,00",93700.0,DRANCY,93,29,1.0,Maison,114.0,5.0,527.0
04/01/2023,Vente,"335000,00",93700.0,DRANCY,93,29,3.0,Dépendance,0.0,0.0,527.0
03/01/2023,Vente,"400000,00",93150.0,LE BLANC-MESNIL,93,7,3.0,Dépendance,0.0,0.0,439.0
03/01/2023,Vente,"400000,00",93150.0,LE BLANC-MESNIL,93,7,2.0,Appartement,55.0,3.0,439.0
04/01/2023,Vente,"475000,00",93220.0,GAGNY,93,32,1.0,Maison,105.0,5.0,359.0
04/01/2023,Vente,"475000,00",93220.0,GAGNY,93,32,3.0,Dépendance,0.0,0.0,359.0
05/01/2023,Vente,"285000,00",93290.0,TREMBLAY-EN-FRANCE,93,73,1.0,Maison,64.0,4.0,435.0
04/01/2023,Vente,"690000,00",93110.0,ROSNY-SOUS-BOIS,93,64,3.0,Dépendance,0.0,0.0,289.0
04/01/2023,Vente,"690000,00",93110.0,ROSNY-SOUS-BOIS,93,64,1.0,Maison,86.0,7.0,289.0
06/01/2023,Vente,"320000,00",93330.0,NEUILLY-SUR-MARNE,93,50,1.0,Maison,59.0,2.0,267.0
06/01/2023,Vente,"265000,00",93370.0,MONTFERMEIL,93,47,1.0,Maison,94.0,5.0,254.0
06/01/2023,Vente,"265000,00",93370.0,MONTFERMEIL,93,47,3.0,Dépendance,0.0,0.0,17.0
04/01/2023,Vente,"300000,00",93600.0,AULNAY SOUS BOIS,93,5,3.0,Dépendance,0.0,0.0,399.0
04/01/2023,Vente,"300000,00",93600.0,AULNAY SOUS BOIS,93,5,1.0,Maison,50.0,3.0,399.0
10/01/2023,Vente,"1065000,00",93340.0,LE RAINCY,93,62,1.0,Maison,200.0,7.0,625.0
10/01/2023,Vente,"1065000,00",93340.0,LE RAINCY,93,62,1.0,Maison,200.0,7.0,819.0
09/01/2023,Vente,"270000,00",93700.0,DRANCY,93,29,1.0,Maison,40.0,3.0,300.0
06/01/2023,Vente,"270000,00",93600.0,AULNAY SOUS BOIS,93,5,1.0,Maison,58.0,3.0,430.0
06/01/2023,Vente,"270000,00",93600.0,AULNAY SOUS BOIS,93,5,3.0,Dépendance,0.0,0.0,430.0
11/01/2023,Vente,"280000,00",93220.0,GAGNY,93,32,3.0,Dépendance,0.0,0.0,301.0
11/01/2023,Vente,"280000,00",93220.0,GAGNY,93,32,1.0,Maison,70.0,3.0,301.0
03/01/2023,Vente,"10300000,00",93700.0,DRANCY,93,29,4.0,Local industriel. commercial ou assimilé,804.0,0.0,10233.0
03/01/2023,Vente,"10300000,00",93700.0,DRANCY,93,29,4.0,Local industriel. commercial ou assimilé,2800.0,0.0,10233.0
03/01/2023,Vente,"10300000,00",93700.0,DRANCY,93,29,4.0,Local industriel. commercial ou assimilé,425.0,0.0,10233.0
03/01/2023,Vente,"10300000,00",93700.0,DRANCY,93,29,4.0,Local industriel. commercial ou assimilé,268.0,0.0,10233.0
03/01/2023,Vente,"4285795,00",93700.0,DRANCY,93,29,2.0,Appartement,17.0,1.0,204.0
03/01/2023,Vente,"4285795,00",93700.0,DRANCY,93,29,2.0,Appartement,33.0,2.0,204.0
03/01/2023,Vente,"4285795,00",93700.0,DRANCY,93,29,2.0,Appartement,40.0,2.0,204.0
03/01/2023,Vente,"4285795,00",93700.0,DRANCY,93,29,4.0,Local industriel. commercial ou assimilé,28.0,0.0,204.0
03/01/2023,Vente,"4285795,00",93700.0,DRANCY,93,29,4.0,Local industriel. commercial ou assimilé,18.0,0.0,204.0
03/01/2023,Vente,"4285795,00",93700.0,DRANCY,93,29,4.0,Local industriel. commercial ou assimilé,115.0,0.0,204.0
03/01/2023,Vente,"4285795,00",93700.0,DRANCY,93,29,3.0,Dépendance,0.0,0.0,204.0
03/01/2023,Vente,"4285795,00",93700.0,DRANCY,93,29,2.0,Appartement,26.0,2.0,204.0
03/01/2023,Vente,"4285795,00",93700.0,DRANCY,93,29,4.0,Local industriel. commercial ou assimilé,152.0,0.0,191.0
03/01/2023,Vente,"4285795,00",93700.0,DRANCY,93,29,4.0,Local industriel. commercial ou assimilé,51.0,0.0,191.0
03/01/2023,Vente,"4285795,00",93700.0,DRANCY,93,29,2.0,Appartement,85.0,3.0,313.0
03/01/2023,Vente,"4285795,00",93700.0,DRANCY,93,29,4.0,Local industriel. commercial ou assimilé,70.0,0.0,313.0
03/01/2023,Vente,"4285795,00",93700.0,DRANCY,93,29,4.0,Local industriel. commercial ou assimilé,300.0,0.0,313.0
03/01/2023,Vente,"4285795,00",93700.0,DRANCY,93,29,3.0,Dépendance,0.0,0.0,481.0
03/01/2023,Vente,"4285795,00",93700.0,DRANCY,93,29,2.0,Appartement,80.0,3.0,481.0
04/01/2023,Vente,"2200000,00",93240.0,STAINS,93,72,4.0,Local industriel. commercial ou assimilé,2400.0,0.0,1088.0
11/01/2023,Vente,"275000,00",93270.0,SEVRAN,93,71,1.0,Maison,88.0,5.0,273.0
04/01/2023,Vente,"321000,00",93700.0,DRANCY,93,29,1.0,Maison,98.0,3.0,270.0
02/01/2023,Vente,"273000,00",93140.0,BONDY,93,10,1.0,Maison,50.0,3.0,69.0
06/01/2023,Vente,"320000,00",93190.0,LIVRY-GARGAN,93,46,3.0,Dépendance,0.0,0.0,338.0
06/01/2023,Vente,"320000,00",93190.0,LIVRY-GARGAN,93,46,1.0,Maison,71.0,4.0,338.0
05/01/2023,Vente,"315000,00",93440.0,DUGNY,93,30,1.0,Maison,68.0,4.0,342.0
11/01/2023,Vente,"315000,00",93190.0,LIVRY-GARGAN,93,46,1.0,Maison,58.0,3.0,272.0
11/01/2023,Vente,"21612800,00",93200.0,SAINT-DENIS,93,66,2.0,Appartement,41.0,2.0,274.0
11/01/2023,Vente,"21612800,00",93200.0,SAINT-DENIS,93,66,4.0,Local industriel. commercial ou assimilé,8871.0,0.0,274.0
11/01/2023,Vente,"21612800,00",93210.0,SAINT-DENIS,93,66,4.0,Local industriel. commercial ou assimilé,0.0,0.0,3291.0
06/01/2023,Vente,"340000,00",93600.0,AULNAY SOUS BOIS,93,5,3.0,Dépendance,0.0,0.0,504.0
06/01/2023,Vente,"340000,00",93600.0,AULNAY SOUS BOIS,93,5,1.0,Maison,82.0,5.0,504.0
09/01/2023,Vente,"355000,00",93420.0,VILLEPINTE,93,78,1.0,Maison,155.0,5.0,451.0
03/01/2023,Vente,"14745795,00",93700.0,DRANCY,93,29,2.0,Appartement,26.0,2.0,204.0
03/01/2023,Vente,"14745795,00",93700.0,DRANCY,93,29,2.0,Appartement,33.0,2.0,204.0
03/01/2023,Vente,"14745795,00",93700.0,DRANCY,93,29,2.0,Appartement,17.0,1.0,204.0
03/01/2023,Vente,"14745795,00",93700.0,DRANCY,93,29,3.0,Dépendance,0.0,0.0,204.0
03/01/2023,Vente,"14745795,00",93700.0,DRANCY,93,29,4.0,Local industriel. commercial ou assimilé,28.0,0.0,204.0
