property_value,postal_code,town_name,department_code,property_type,building_area,main_rooms,land_area,year
275000,78200,MAGNANVILLE,78,Maison,102,5,413,2022
1100000,78240,CHAMBOURCY,78,Maison,186,7,500,2022
1100000,78240,CHAMBOURCY,78,Maison,186,7,1854,2022
110000,78980,BREVAL,78,Dépendance,0,0,500,2022
110000,78980,BREVAL,78,Maison,45,3,500,2022
110000,78980,BREVAL,78,Dépendance,0,0,1897,2022
110000,78980,BREVAL,78,Maison,111,7,500,2022
110000,78980,BREVAL,78,Maison,45,3,1897,2022
110000,78980,BREVAL,78,Maison,111,7,1897,2022
360000,78410,AUBERGENVILLE,78,Maison,94,4,814,2022
116250,78990,ELANCOURT,78,Maison,97,4,343,2022
489000,78480,VERNEUIL SUR SEINE,78,Maison,158,6,127,2022
489000,78480,VERNEUIL SUR SEINE,78,Maison,158,6,992,2022
320000,78320,LEVIS-SAINT-NOM,78,Maison,93,4,623,2022
601700,78580,BAZEMONT,78,Maison,173,7,977,2022
310000,78980,NEAUPHLETTE,78,Maison,166,6,356,2022
635600,78610,BREVIAIRES (LES),78,Dépendance,0,0,500,2022
635600,78610,BREVIAIRES (LES),78,Dépendance,0,0,5481,2022
635600,78610,BREVIAIRES (LES),78,Maison,159,6,900,2022
635600,78610,BREVIAIRES (LES),78,Maison,159,6,500,2022
635600,78610,BREVIAIRES (LES),78,Dépendance,0,0,900,2022
635600,78610,BREVIAIRES (LES),78,Maison,159,6,5481,2022
1190000,78220,VIROFLAY,78,Maison,137,6,398,2022
1318784,78230,PECQ (LE),78,Maison,135,4,579,2022
445000,78280,GUYANCOURT,78,Maison,120,6,370,2022
345000,78990,ELANCOURT,78,Maison,97,4,292,2022
566000,78960,VOISINS-LE-BRETONNEUX,78,Maison,105,4,331,2022
136000,78680,EPONE,78,Maison,145,5,500,2022
136000,78680,EPONE,78,Maison,145,5,268,2022
325000,78120,RAMBOUILLET,78,Local industriel. commercial ou assimilé,423,0,1000,2022
170000,78770,THOIRY,78,Maison,35,2,37,2022
170000,78770,THOIRY,78,Maison,35,2,1518,2022
653300,78400,CHATOU,78,Maison,63,3,523,2022
749600,78400,CHATOU,78,Maison,107,4,263,2022
516000,78390,BOIS D ARCY,78,Maison,114,5,397,2022
250000,78360,MONTESSON,78,Appartement,54,3,255,2022
1245300,78600,MESNIL-LE-ROI (LE),78,Maison,203,6,546,2022
510000,78800,HOUILLES,78,Maison,85,4,90,2022
562300,78340,CLAYES-SOUS-BOIS (LES),78,Maison,120,4,300,2022
283950,78820,JUZIERS,78,Maison,96,5,491,2022
283950,78820,JUZIERS,78,Dépendance,0,0,491,2022
275000,78200,MAGNANVILLE,78,Dépendance,0,0,747,2022
275000,78200,MAGNANVILLE,78,Appartement,59,3,747,2022
275000,78200,MAGNANVILLE,78,Appartement,81,2,747,2022
755000,78100,SAINT-GERMAIN-EN-LAYE,78,Maison,133,6,498,2022
460000,78480,VERNEUIL SUR SEINE,78,Maison,96,5,533,2022
285000,78550,GRESSEY,78,Maison,87,4,500,2022
285000,78550,GRESSEY,78,Maison,87,4,570,2022
455000,78920,ECQUEVILLY,78,Maison,103,5,708,2022
308250,78510,TRIEL SUR SEINE,78,Maison,75,5,64,2022
305000,78800,HOUILLES,78,Maison,57,3,135,2022
290000,78270,NOTRE-DAME-DE-LA-MER,78,Maison,122,6,500,2022
290000,78270,NOTRE-DAME-DE-LA-MER,78,Maison,122,6,1188,2022
