property_value,postal_code,town_name,department_code,property_type,building_area,main_rooms,land_area,year
430000,92250,LA GARENNE-COLOMBES,92,Maison,70,4,107,2024
980000,92000,NANTERRE,92,Dépendance,0,0,325,2024
980000,92000,NANTERRE,92,Maison,184,6,325,2024
798000,92700,COLOMBES,92,Maison,96,5,240,2024
740000,92150,SURESNES,92,Maison,69,3,105,2024
684000,92700,COLOMBES,92,Maison,64,2,146,2024
200000,92400,COURBEVOIE,92,Local industriel. commercial ou assimilé,20,0,24,2024
905000,92700,COLOMBES,92,Maison,120,6,561,2024
905000,92700,COLOMBES,92,Dépendance,0,0,561,2024
861380,92700,COLOMBES,92,Maison,110,5,242,2024
861380,92700,COLOMBES,92,Dépendance,0,0,242,2024
1358100,92500,RUEIL-MALMAISON,92,Maison,124,6,400,2024
1200000,92000,NANTERRE,92,Maison,45,4,684,2024
1200000,92000,NANTERRE,92,Local industriel. commercial ou assimilé,790,0,684,2024
840000,92000,NANTERRE,92,Dépendance,0,0,332,2024
840000,92000,NANTERRE,92,Dépendance,0,0,717,2024
840000,92000,NANTERRE,92,Maison,38,3,332,2024
840000,92000,NANTERRE,92,Maison,76,4,332,2024
840000,92000,NANTERRE,92,Maison,37,3,332,2024
840000,92000,NANTERRE,92,Maison,37,3,717,2024
840000,92000,NANTERRE,92,Maison,38,3,717,2024
840000,92000,NANTERRE,92,Maison,76,4,717,2024
980000,92110,CLICHY,92,Maison,100,5,122,2024
942620,92500,RUEIL-MALMAISON,92,Maison,120,4,206,2024
758800,92150,SURESNES,92,Maison,80,4,177,2024
909800,92600,ASNIERES-SUR-SEINE,92,Maison,90,3,228,2024
1131900,92700,COLOMBES,92,Local industriel. commercial ou assimilé,190,0,318,2024
1131900,92700,COLOMBES,92,Appartement,81,2,318,2024
1131900,92700,COLOMBES,92,Appartement,35,2,318,2024
1530000,92500,RUEIL-MALMAISON,92,Local industriel. commercial ou assimilé,130,0,315,2024
1530000,92500,RUEIL-MALMAISON,92,Dépendance,0,0,315,2024
