valeur_fonciere,code_postal,code_departement,code_commune,code_type_local,surface_reelle_bati,nombre_pieces_principales,surface_terrain
"430000,00",92250.0,92,35,1.0,70.0,4.0,107.0
"980000,00",92000.0,92,50,3.0,0.0,0.0,325.0
"980000,00",92000.0,92,50,1.0,184.0,6.0,325.0
"798000,00",92700.0,92,25,1.0,96.0,5.0,240.0
"740000,00",92150.0,92,73,1.0,69.0,3.0,105.0
"684000,00",92700.0,92,25,1.0,64.0,2.0,146.0
"200000,00",92400.0,92,26,4.0,20.0,0.0,24.0
"905000,00",92700.0,92,25,1.0,120.0,6.0,561.0
"905000,00",92700.0,92,25,3.0,0.0,0.0,561.0
"861380,00",92700.0,92,25,1.0,110.0,5.0,242.0
"861380,00",92700.0,92,25,3.0,0.0,0.0,242.0
"1358100,00",92500.0,92,63,1.0,124.0,6.0,400.0
"1200000,00",92000.0,92,50,1.0,45.0,4.0,684.0
"1200000,00",92000.0,92,50,4.0,790.0,0.0,684.0
"840000,00",92000.0,92,50,3.0,0.0,0.0,332.0
"840000,00",92000.0,92,50,3.0,0.0,0.0,717.0
"840000,00",92000.0,92,50,1.0,38.0,3.0,332.0
"840000,00",92000.0,92,50,1.0,76.0,4.0,332.0
"840000,00",92000.0,92,50,1.0,37.0,3.0,332.0
"840000,00",92000.0,92,50,1.0,37.0,3.0,717.0
"840000,00",92000.0,92,50,1.0,38.0,3.0,717.0
"840000,00",92000.0,92,50,1.0,76.0,4.0,717.0
"980000,00",92110.0,92,24,1.0,100.0,5.0,122.0
"942620,00",92500.0,92,63,1.0,120.0,4.0,206.0
"758800,00",92150.0,92,73,1.0,80.0,4.0,177.0
"909800,00",92600.0,92,4,1.0,90.0,3.0,228.0
"1131900,00",92700.0,92,25,4.0,190.0,0.0,318.0
"1131900,00",92700.0,92,25,2.0,81.0,2.0,318.0
"1131900,00",92700.0,92,25,2.0,35.0,2.0,318.0
"1530000,00",92500.0,92,63,4.0,130.0,0.0,315.0
"1530000,00",92500.0,92,63,3.0,0.0,0.0,315.0
"1530000,00",92500.0,92,63,2.0,32.0,2.0,315.0
"1530000,00",92500.0,92,63,2.0,74.0,4.0,315.0
"1530000,00",92500.0,92,63,2.0,80.0,5.0,315.0
"1530000,00",92500.0,92,63,4.0,60.0,0.0,315.0
"1530000,00",92500.0,92,63,4.0,110.0,0.0,315.0
"2100000,00",92150.0,92,73,3.0,0.0,0.0,406.0
"2100000,00",92150.0,92,73,2.0,214.0,7.0,406.0
"2100000,00",92150.0,92,73,2.0,50.0,2.0,406.0
"2100000,00",92150.0,92,73,3.0,0.0,0.0,876.0
"2100000,00",92150.0,92,73,2.0,214.0,7.0,876.0
"2100000,00",92150.0,92,73,2.0,50.0,2.0,876.0
"1313045,00",92700.0,92,25,1.0,125.0,4.0,477.0
"900000,00",92110.0,92,24,2.0,22.0,1.0,160.0
"900000,00",92110.0,92,24,3.0,0.0,0.0,160.0
"900000,00",92110.0,92,24,2.0,50.0,3.0,160.0
"651730,00",92150.0,92,73,1.0,48.0,1.0,138.0
"520720,00",92500.0,92,63,1.0,75.0,4.0,59.0
"1179860,00",92500.0,92,63,1.0,165.0,5.0,500.0
"1179860,00",92500.0,92,63,1.0,165.0,5.0,216.0
"1500000,00",92150.0,92,73,1.0,134.0,7.0,435.0
"720000,00",92270.0,92,9,1.0,90.0,4.0,220.0
"720000,00",92270.0,92,9,3.0,0.0,0.0,220.0
"936900,00",92600.0,92,4,1.0,79.0,4.0,201.0
"2100000,00",92250.0,92,35,2.0,32.0,3.0,478.0
"2100000,00",92250.0,92,35,2.0,33.0,3.0,478.0
"2100000,00",92250.0,92,35,2.0,34.0,3.0,478.0
"2100000,00",92250.0,92,35,2.0,35.0,3.0,478.0
"2100000,00",92250.0,92,35,3.0,0.0,0.0,478.0
"2100000,00",92250.0,92,35,4.0,450.0,0.0,478.0
"2100000,00",92250.0,92,35,2.0,15.0,1.0,478.0
"2100000,00",92250.0,92,35,2.0,31.0,3.0,478.0
"1210000,00",92150.0,92,73,1.0,149.0,5.0,157.0
"699500,00",92700.0,92,25,1.0,107.0,4.0,66.0
"547000,00",92600.0,92,4,1.0,95.0,5.0,115.0
"547000,00",92600.0,92,4,3.0,0.0,0.0,115.0
"588650,00",92700.0,92,25,1.0,115.0,8.0,231.0
"818800,00",92500.0,92,63,1.0,57.0,4.0,411.0
"818800,00",92500.0,92,63,3.0,0.0,0.0,411.0
"220000,00",92230.0,92,36,1.0,43.0,3.0,150.0
"475000,00",92230.0,92,36,1.0,100.0,4.0,394.0
"585000,00",92270.0,92,9,1.0,147.0,7.0,514.0
"585000,00",92270.0,92,9,3.0,0.0,0.0,514.0
"1500000,00",92000.0,92,50,2.0,20.0,1.0,179.0
"1500000,00",92000.0,92,50,4.0,105.0,0.0,179.0
"1500000,00",92000.0,92,50,2.0,42.0,2.0,179.0
"1500000,00",92000.0,92,50,2.0,15.0,1.0,179.0
"1500000,00",92000.0,92,50,2.0,29.0,2.0,179.0
"1500000,00",92000.0,92,50,2.0,13.0,1.0,179.0
"1500000,00",92000.0,92,50,2.0,10.0,1.0,179.0
"1500000,00",92000.0,92,50,2.0,27.0,1.0,179.0
"920000,00",92270.0,92,9,3.0,0.0,0.0,336.0
"920000,00",92270.0,92,9,1.0,107.0,5.0,336.0
"88150000,00",92200.0,92,51,3.0,0.0,0.0,1991.0
"88150000,00",92200.0,92,51,3.0,0.0,0.0,1278.0
"88150000,00",92200.0,92,51,2.0,165.0,5.0,1278.0
"88150000,00",92200.0,92,51,2.0,175.0,6.0,1278.0
"88150000,00",92200.0,92,51,2.0,168.0,5.0,1278.0
"88150000,00",92200.0,92,51,2.0,145.0,4.0,1278.0
"88150000,00",92200.0,92,51,2.0,153.0,5.0,1278.0
"88150000,00",92200.0,92,51,2.0,116.0,4.0,1278.0
"88150000,00",92200.0,92,51,2.0,166.0,4.0,1278.0
"88150000,00",92200.0,92,51,2.0,117.0,4.0,1278.0
"88150000,00",92200.0,92,51,2.0,184.0,5.0,1278.0
"88150000,00",92200.0,92,51,2.0,250.0,7.0,1278.0
"88150000,00",92200.0,92,51,2.0,187.0,5.0,1278.0
"88150000,00",92200.0,92,51,2.0,252.0,7.0,1278.0
"88150000,00",92200.0,92,51,2.0,111.0,3.0,1991.0
"88150000,00",92200.0,92,51,2.0,134.0,4.0,1991.0
"88150000,00",92200.0,92,51,2.0,175.0,6.0,1991.0
"88150000,00",92200.0,92,51,2.0,165.0,5.0,1991.0
"88150000,00",92200.0,92,51,2.0,153.0,5.0,1991.0
"88150000,00",92200.0,92,51,2.0,90.0,4.0,1278.0
"88150000,00",92200.0,92,51,2.0,116.0,4.0,1991.0
"88150000,00",92200.0,92,51,2.0,166.0,4.0,1991.0
"88150000,00",92200.0,92,51,2.0,117.0,4.0,1991.0
"88150000,00",92200.0,92,51,2.0,184.0,5.0,1991.0
"88150000,00",92200.0,92,51,2.0,250.0,7.0,1991.0
"88150000,00",92200.0,92,51,2.0,187.0,5.0,1991.0
"88150000,00",92200.0,92,51,2.0,252.0,7.0,1991.0
"88150000,00",92200.0,92,51,2.0,254.0,7.0,1991.0
"88150000,00",92200.0,92,51,2.0,186.0,5.0,1991.0
"88150000,00",92200.0,92,51,2.0,197.0,5.0,1991.0
"88150000,00",92200.0,92,51,2.0,255.0,8.0,1991.0
"88150000,00",92200.0,92,51,2.0,157.0,5.0,1991.0
"88150000,00",92200.0,92,51,2.0,166.0,5.0,1278.0
"88150000,00",92200.0,92,51,2.0,249.0,7.0,1278.0
"88150000,00",92200.0,92,51,2.0,230.0,6.0,1278.0
"88150000,00",92200.0,92,51,2.0,212.0,6.0,1278.0
"88150000,00",92200.0,92,51,2.0,131.0,4.0,1278.0
"88150000,00",92200.0,92,51,2.0,168.0,5.0,1991.0
"88150000,00",92200.0,92,51,2.0,202.0,7.0,1991.0
"88150000,00",92200.0,92,51,2.0,73.0,2.0,1991.0
"88150000,00",92200.0,92,51,2.0,158.0,5.0,1991.0
"88150000,00",92200.0,92,51,2.0,88.0,3.0,1991.0
"88150000,00",92200.0,92,51,2.0,164.0,5.0,1991.0
"88150000,00",92200.0,92,51,2.0,220.0,6.0,1991.0
"88150000,00",92200.0,92,51,2.0,166.0,5.0,1991.0
"88150000,00",92200.0,92,51,2.0,222.0,6.0,1991.0
