transaction_date,transaction_type,property_value,postal_code,town_name,department_code,town_code,property_type_code,property_type,building_area,main_rooms,land_area
04/01/2022,Vente,343000,92700,COLOMBES,92,25,1,Maison,58,3,86
07/01/2022,Vente,330000,92000,NANTERRE,92,50,1,Maison,33,2,211
04/01/2022,Vente,600000,92700,COLOMBES,92,25,1,Maison,98,4,176
04/01/2022,Vente,600000,92700,COLOMBES,92,25,3,Dépendance,0,0,176
06/01/2022,Vente,1059300,92700,COLOMBES,92,25,1,Maison,103,5,203
06/01/2022,Vente,386500,92250,LA GARENNE-COLOMBES,92,35,1,Maison,48,2,44
04/01/2022,Vente,890450,92000,NANTERRE,92,50,1,Maison,89,5,257
05/01/2022,Vente,1420000,92300,LEVALLOIS-PERRET,92,44,2,Appartement,37,3,151
05/01/2022,Vente,1420000,92300,LEVALLOIS-PERRET,92,44,2,Appartement,59,3,151
05/01/2022,Vente,1420000,92300,LEVALLOIS-PERRET,92,44,2,Appartement,59,4,151
05/01/2022,Vente,1420000,92300,LEVALLOIS-PERRET,92,44,2,Appartement,56,4,151
05/01/2022,Vente,1420000,92300,LEVALLOIS-PERRET,92,44,3,Dépendance,0,0,151
05/01/2022,Vente,1420000,92300,LEVALLOIS-PERRET,92,44,4,Local industriel. commercial ou assimilé,45,0,151
05/01/2022,Vente,1420000,92300,LEVALLOIS-PERRET,92,44,4,Local industriel. commercial ou assimilé,30,0,151
05/01/2022,Vente,1420000,92300,LEVALLOIS-PERRET,92,44,4,Local industriel. commercial ou assimilé,32,0,151
05/01/2022,Vente,1420000,92300,LEVALLOIS-PERRET,92,44,2,Appartement,20,2,151
05/01/2022,Vente,1420000,92300,LEVALLOIS-PERRET,92,44,2,Appartement,34,2,151
05/01/2022,Vente,1185000,92600,ASNIERES-SUR-SEINE,92,4,1,Maison,137,6,99
12/01/2022,Vente,1053600,92150,SURESNES,92,73,3,Dépendance,0,0,151
12/01/2022,Vente,1053600,92150,SURESNES,92,73,1,Maison,92,4,151
04/01/2022,Vente,707200,92600,ASNIERES-SUR-SEINE,92,4,1,Maison,71,3,144
04/01/2022,Vente,707200,92600,ASNIERES-SUR-SEINE,92,4,3,Dépendance,0,0,144
11/01/2022,Vente,630000,92600,ASNIERES-SUR-SEINE,92,4,4,Local industriel. commercial ou assimilé,133,0,71
12/01/2022,Vente,267000,92230,GENNEVILLIERS,92,36,1,Maison,73,5,188
06/01/2022,Vente,984400,92700,COLOMBES,92,25,1,Maison,130,6,316
